City,State,Metric,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
Boston,Massachusetts,300 to 349 percent,4874,1095,8,1.8
Chicago,Illinois,300 to 349 percent,32547,2722,9.5,0.8
Cincinnati,Ohio,300 to 349 percent,3044,915,7.5,2.1
Cleveland,Ohio,300 to 349 percent,4847,1103,9.4,2
Colorado Springs,Colorado,300 to 349 percent,6840,1301,9.2,1.7
Columbus,Ohio,300 to 349 percent,11358,1733,9.5,1.3
Corpus Christi,Texas,300 to 349 percent,3721,1159,10.1,2.9
Dallas,Texas,300 to 349 percent,10737,1539,8.4,1.2
Denver,Colorado,300 to 349 percent,7747,1249,7.9,1.2
Detroit,Michigan,300 to 349 percent,6402,1189,8.6,1.6
El Paso,Texas,300 to 349 percent,5905,1131,7.6,1.4
Fresno,California,300 to 349 percent,5631,1116,10,2
Greensboro,North Carolina,300 to 349 percent,3702,1049,8.7,2.3
Henderson,Nevada,300 to 349 percent,5107,1256,10.1,2.3
Houston,Texas,300 to 349 percent,16262,2035,7.7,0.9
Indianapolis,Indiana,300 to 349 percent,10995,1644,7.9,1.1
Irvine,California,300 to 349 percent,2475,848,7.9,2.6
Jacksonville,Florida,300 to 349 percent,13365,1987,9.8,1.5
Jersey City,New Jersey,300 to 349 percent,1463,577,6.6,2.4
Las Vegas,Nevada,300 to 349 percent,7826,1583,8.8,1.7
Lincoln,Nebraska,300 to 349 percent,2887,724,6.8,1.7
Long Beach,California,300 to 349 percent,5243,1032,10.8,2
Los Angeles,California,300 to 349 percent,37521,3149,9.9,0.8
Memphis,Tennessee,300 to 349 percent,8442,1588,9.4,1.7
Mesa,Arizona,300 to 349 percent,6298,1129,9.1,1.6
Miami,Florida,300 to 349 percent,2746,850,9,2.7
Milwaukee,Wisconsin,300 to 349 percent,7038,1226,9.6,1.5
Minneapolis,Minnesota,300 to 349 percent,6667,1173,10.5,1.8
New Orleans,Louisiana,300 to 349 percent,3114,827,7.3,1.9
New York,New York,300 to 349 percent,52132,3542,8.4,0.6
Newark,New Jersey,300 to 349 percent,1669,710,10.6,4.5
Oakland,California,300 to 349 percent,5303,919,11,1.8
Omaha,Nebraska,300 to 349 percent,5541,1257,8.4,1.9
Orlando,Florida,300 to 349 percent,3487,1006,12,3.3
Philadelphia,Pennsylvania,300 to 349 percent,18343,2203,10.1,1.2
Phoenix,Arizona,300 to 349 percent,19953,2328,9.1,1
Pittsburgh,Pennsylvania,300 to 349 percent,2938,760,7.5,1.9
Plano,Texas,300 to 349 percent,3855,910,8,1.8
Portland,Oregon,300 to 349 percent,10694,1508,10.7,1.5
Riverside,California,300 to 349 percent,3784,900,9.4,2.2
Sacramento,California,300 to 349 percent,6219,1325,9.9,2
San Antonio,Texas,300 to 349 percent,12691,1718,7.5,1
San Diego,California,300 to 349 percent,18558,2078,10.8,1.1
San Francisco,California,300 to 349 percent,8566,1572,10.1,1.8
San Jose,California,300 to 349 percent,14702,1760,11.1,1.3
Santa Ana,California,300 to 349 percent,1601,518,6.3,2
Seattle,Washington,300 to 349 percent,9723,1582,9.8,1.6
St. Paul,Minnesota,300 to 349 percent,3296,782,7.7,1.8
Stockton,California,300 to 349 percent,2723,915,7.1,2.4
Tampa,Florida,300 to 349 percent,3255,1039,6.9,2
Tucson,Arizona,300 to 349 percent,6470,1315,8.7,1.7
Tulsa,Oklahoma,300 to 349 percent,5322,1076,9.6,2
Virginia Beach,Virginia,300 to 349 percent,9049,1338,10.5,1.5
Washington,District of Columbia,300 to 349 percent,5422,1116,6.6,1.4
Wichita,Kansas,300 to 349 percent,5301,1067,8.2,1.7
Albuquerque,New Mexico,350 percent or more,26347,2285,27.3,2.2
Anaheim,California,350 percent or more,14765,1913,39.8,4.2
Anchorage,Alaska,350 percent or more,10916,1393,21.6,2.6
Arlington,Texas,350 percent or more,15318,1839,27.1,2.9
Atlanta,Georgia,350 percent or more,18383,2002,33.5,3
Aurora,Colorado,350 percent or more,17258,1811,28.7,2.7
Austin,Texas,350 percent or more,26492,2415,25.1,2.1
Bakersfield,California,350 percent or more,17000,2043,33.2,3.5
Baltimore,Maryland,350 percent or more,22572,2123,29.5,2.5
Boston,Massachusetts,350 percent or more,20732,1897,33.8,2.5
Chicago,Illinois,350 percent or more,136063,5429,39.6,1.2
Cincinnati,Ohio,350 percent or more,11381,1621,27.9,3.4
Cleveland,Ohio,350 percent or more,18367,1757,35.6,3.2
Colorado Springs,Colorado,350 percent or more,21678,1888,29.2,2.2
Columbus,Ohio,350 percent or more,30091,2463,25.2,1.8
Corpus Christi,Texas,350 percent or more,10504,1816,28.4,4
Dallas,Texas,350 percent or more,39175,3092,30.7,2.1
Denver,Colorado,350 percent or more,28342,2571,28.7,2.4
Detroit,Michigan,350 percent or more,30863,2732,41.4,2.4
El Paso,Texas,350 percent or more,22674,2278,29.3,2.6
Fresno,California,350 percent or more,19419,1962,34.4,2.8
Greensboro,North Carolina,350 percent or more,12266,1950,28.7,4.1
Henderson,Nevada,350 percent or more,18864,2397,37.3,4
Houston,Texas,350 percent or more,64498,3087,30.6,1.4
Indianapolis,Indiana,350 percent or more,31627,2652,22.6,1.8
Irvine,California,350 percent or more,11766,1784,37.5,4.8
Jacksonville,Florida,350 percent or more,44754,3144,32.8,2
Jersey City,New Jersey,350 percent or more,10428,1478,46.8,4.9
Las Vegas,Nevada,350 percent or more,33146,3499,37.3,3.1
Lincoln,Nebraska,350 percent or more,7607,1200,17.9,2.6
Long Beach,California,350 percent or more,17886,1856,36.9,3.1
Los Angeles,California,350 percent or more,188650,6279,49.7,1.2
Memphis,Tennessee,350 percent or more,26704,2222,29.7,2.2
Mesa,Arizona,350 percent or more,22165,1941,32,2.4
Miami,Florida,350 percent or more,16918,2359,55.3,5.4
Milwaukee,Wisconsin,350 percent or more,24996,2084,34.1,2.3
Minneapolis,Minnesota,350 percent or more,17217,1664,27.2,2.1
New Orleans,Louisiana,350 percent or more,15174,1943,35.5,3.6
New York,New York,350 percent or more,262639,7020,42.2,0.9
Newark,New Jersey,350 percent or more,9120,1359,58.1,6.5
Oakland,California,350 percent or more,22042,1990,45.7,3
Omaha,Nebraska,350 percent or more,14898,1526,22.6,2.2
Orlando,Florida,350 percent or more,11207,1790,38.5,4.3
Philadelphia,Pennsylvania,350 percent or more,56379,3585,31.1,1.6
Phoenix,Arizona,350 percent or more,71719,4126,32.8,1.6
Pittsburgh,Pennsylvania,350 percent or more,7415,1153,19,2.5
Plano,Texas,350 percent or more,10541,1868,21.8,3.6
Portland,Oregon,350 percent or more,32967,2626,33.1,2.2
Riverside,California,350 percent or more,16125,1821,40,4
Sacramento,California,350 percent or more,24466,2487,39,3.1
San Antonio,Texas,350 percent or more,39008,3026,22.9,1.5
San Diego,California,350 percent or more,67661,3560,39.5,1.5
San Francisco,California,350 percent or more,33760,2936,40,2.8
San Jose,California,350 percent or more,50867,2838,38.5,1.9
Santa Ana,California,350 percent or more,11476,1370,45.1,4.5
Seattle,Washington,350 percent or more,28198,2312,28.5,2
St. Paul,Minnesota,350 percent or more,10820,1517,25.2,3.3
Stockton,California,350 percent or more,16307,1588,42.6,3.5
Tampa,Florida,350 percent or more,18988,2029,40,3.4
Tucson,Arizona,350 percent or more,23651,2405,31.8,2.9
Tulsa,Oklahoma,350 percent or more,15282,2068,27.5,3.3
Virginia Beach,Virginia,350 percent or more,27752,2368,32.2,2.4
Washington,District of Columbia,350 percent or more,23892,2516,29.1,2.6
Wichita,Kansas,350 percent or more,12350,1645,19.2,2.4
Albuquerque,New Mexico,Not computed,329,350,,
Anaheim,California,Not computed,0,294,,
Anchorage,Alaska,Not computed,64,106,,
Arlington,Texas,Not computed,239,227,,
Atlanta,Georgia,Not computed,1007,683,,
Aurora,Colorado,Not computed,273,310,,
Austin,Texas,Not computed,285,200,,
Bakersfield,California,Not computed,110,128,,
Baltimore,Maryland,Not computed,401,303,,
Boston,Massachusetts,Not computed,206,211,,
Chicago,Illinois,Not computed,1696,652,,
Cincinnati,Ohio,Not computed,61,103,,
Cleveland,Ohio,Not computed,452,251,,
Colorado Springs,Colorado,Not computed,764,443,,
Columbus,Ohio,Not computed,391,356,,
Corpus Christi,Texas,Not computed,220,273,,
Dallas,Texas,Not computed,815,455,,
Denver,Colorado,Not computed,390,314,,
Detroit,Michigan,Not computed,794,508,,
El Paso,Texas,Not computed,455,265,,
Fresno,California,Not computed,659,542,,
Greensboro,North Carolina,Not computed,65,108,,
Henderson,Nevada,Not computed,641,509,,
Houston,Texas,Not computed,1755,691,,
Indianapolis,Indiana,Not computed,896,530,,
Irvine,California,Not computed,404,398,,
Jacksonville,Florida,Not computed,1195,713,,
Jersey City,New Jersey,Not computed,0,281,,
Las Vegas,Nevada,Not computed,1139,625,,
Lincoln,Nebraska,Not computed,0,228,,
Long Beach,California,Not computed,94,109,,
Los Angeles,California,Not computed,2391,768,,
Memphis,Tennessee,Not computed,1108,502,,
Mesa,Arizona,Not computed,153,148,,
Miami,Florida,Not computed,136,138,,
Milwaukee,Wisconsin,Not computed,193,182,,
Minneapolis,Minnesota,Not computed,120,172,,
New Orleans,Louisiana,Not computed,276,200,,
New York,New York,Not computed,4935,1111,,
Newark,New Jersey,Not computed,50,78,,
Oakland,California,Not computed,188,160,,
Omaha,Nebraska,Not computed,191,158,,
Orlando,Florida,Not computed,41,68,,
Philadelphia,Pennsylvania,Not computed,4092,1493,,
Phoenix,Arizona,Not computed,3366,1037,,
Pittsburgh,Pennsylvania,Not computed,145,171,,
Plano,Texas,Not computed,290,312,,
Portland,Oregon,Not computed,773,328,,
Riverside,California,Not computed,114,135,,
Sacramento,California,Not computed,419,248,,
San Antonio,Texas,Not computed,1139,688,,
San Diego,California,Not computed,1515,818,,
San Francisco,California,Not computed,468,461,,
San Jose,California,Not computed,384,312,,
Santa Ana,California,Not computed,154,120,,
Seattle,Washington,Not computed,526,351,,
St. Paul,Minnesota,Not computed,107,132,,
Stockton,California,Not computed,115,132,,
Tampa,Florida,Not computed,376,238,,
Tucson,Arizona,Not computed,404,317,,
Tulsa,Oklahoma,Not computed,239,303,,
Virginia Beach,Virginia,Not computed,475,342,,
Washington,District of Columbia,Not computed,688,342,,
Wichita,Kansas,Not computed,373,260,,
Albuquerque,New Mexico,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,36578,2679,36578,
Anaheim,California,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,11478,1437,11478,
Anchorage,Alaska,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,13247,1588,13247,
Arlington,Texas,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,20002,1955,20002,
Atlanta,Georgia,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,19696,2103,19696,
Aurora,Colorado,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,12137,1434,12137,
Austin,Texas,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,39698,3064,39698,
Bakersfield,California,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,12980,1598,12980,
Baltimore,Maryland,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,31917,2149,31917,
Boston,Massachusetts,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,20042,1873,20042,
Chicago,Illinois,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,117694,4786,117694,
Cincinnati,Ohio,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,12258,1171,12258,
Cleveland,Ohio,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,25137,2336,25137,
Colorado Springs,Colorado,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,22658,1935,22658,
Columbus,Ohio,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,30987,2220,30987,
Corpus Christi,Texas,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,26859,2152,26859,
Dallas,Texas,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,64766,3550,64766,
Denver,Colorado,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,32099,2058,32099,
Detroit,Michigan,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,59279,3242,59279,
El Paso,Texas,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,46739,2983,46739,
Fresno,California,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,17673,1844,17673,
Greensboro,North Carolina,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,15418,1799,15418,
Henderson,Nevada,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,12307,1657,12307,
Houston,Texas,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,137464,4992,137464,
Indianapolis,Indiana,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,42030,2661,42030,
Irvine,California,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,6160,1140,6160,
Jacksonville,Florida,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,52210,3214,52210,
Jersey City,New Jersey,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,6424,1167,6424,
Las Vegas,Nevada,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,23686,1845,23686,
Lincoln,Nebraska,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,16550,1550,16550,
Long Beach,California,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,13969,1827,13969,
Los Angeles,California,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,109363,4560,109363,
Memphis,Tennessee,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,34227,2760,34227,
Mesa,Arizona,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,30725,2441,30725,
Miami,Florida,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,17207,1985,17207,
Milwaukee,Wisconsin,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,28742,2303,28742,
Minneapolis,Minnesota,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,18229,1892,18229,
New Orleans,Louisiana,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,27968,1914,27968,
New York,New York,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,344759,7656,344759,
Newark,New Jersey,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,5773,1017,5773,
Oakland,California,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,13020,1485,13020,
Omaha,Nebraska,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,28980,1793,28980,
Orlando,Florida,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,9434,1489,9434,
Philadelphia,Pennsylvania,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,122817,4747,122817,
Phoenix,Arizona,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,61364,3905,61364,
Pittsburgh,Pennsylvania,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,27151,2406,27151,
Plano,Texas,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,15226,1748,15226,
Portland,Oregon,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,29050,1768,29050,
Riverside,California,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,9459,1296,9459,
Sacramento,California,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,23299,2218,23299,
San Antonio,Texas,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,90499,3433,90499,
San Diego,California,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,51411,3237,51411,
San Francisco,California,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,37585,2629,37585,
San Jose,California,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,39975,2771,39975,
Santa Ana,California,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,8208,1190,8208,
Seattle,Washington,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,30464,2401,30464,
St. Paul,Minnesota,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,13450,1462,13450,
Stockton,California,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,9319,1215,9319,
Tampa,Florida,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,19496,2036,19496,
Tucson,Arizona,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,30522,2481,30522,
Tulsa,Oklahoma,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,32535,2171,32535,
Virginia Beach,Virginia,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,21075,1776,21075,
Washington,District of Columbia,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,24200,1623,24200,
Wichita,Kansas,Housing unit without a mortgage excluding units where SMOCAPI cannot be computed,27151,1938,27151,
Albuquerque,New Mexico,Less than 100 percent,18344,1896,50.2,3.9
Anaheim,California,Less than 100 percent,5626,1071,49,6.8
Anchorage,Alaska,Less than 100 percent,6446,1122,48.7,6.1
Arlington,Texas,Less than 100 percent,8408,1382,42,5.2
Atlanta,Georgia,Less than 100 percent,5540,1151,28.1,4.8
Aurora,Colorado,Less than 100 percent,5147,1001,42.4,5.9
Austin,Texas,Less than 100 percent,15272,1670,38.5,3.2
Bakersfield,California,Less than 100 percent,6121,1095,47.2,6.6
Baltimore,Maryland,Less than 100 percent,9348,1266,29.3,3.1
Boston,Massachusetts,Less than 100 percent,6903,1093,34.4,4.1
Chicago,Illinois,Less than 100 percent,34732,2592,29.5,1.8
Cincinnati,Ohio,Less than 100 percent,3678,671,30,5.4
Cleveland,Ohio,Less than 100 percent,5705,1029,22.7,3.8
Colorado Springs,Colorado,Less than 100 percent,11949,1469,52.7,5.1
Columbus,Ohio,Less than 100 percent,12477,1601,40.3,4
Corpus Christi,Texas,Less than 100 percent,8723,1138,32.5,3.9
Dallas,Texas,Less than 100 percent,21245,2079,32.8,2.4
Denver,Colorado,Less than 100 percent,14752,1554,46,3.7
Detroit,Michigan,Less than 100 percent,13628,1810,23,2.8
El Paso,Texas,Less than 100 percent,19910,1643,42.6,3
Fresno,California,Less than 100 percent,8136,1374,46,5.9
Greensboro,North Carolina,Less than 100 percent,6209,1165,40.3,5.4
Henderson,Nevada,Less than 100 percent,6376,1076,51.8,6.4
Houston,Texas,Less than 100 percent,48776,3155,35.5,1.9
Indianapolis,Indiana,Less than 100 percent,18324,1559,43.6,3.3
