Metric,City,Estimate,Estimate Margin of Error,Group,Percent,Percent Margin of Error
"('$1,000 to $1,499',)","Washington city, District of Columbia","39,960","±3,381",gross_rent,28.40%,±2.2
"('$1,000 to $1,499',)","Wichita city, Kansas","5,566","±1,248",gross_rent,10.00%,±2.2
"('$1,500 or more',)","Albuquerque city, New Mexico","1,995",±711,gross_rent,2.30%,±0.8
"('$1,500 or more',)","Anaheim city, California","12,116","±1,783",gross_rent,23.60%,±3.3
"('$1,500 or more',)","Anchorage municipality, Alaska","7,828","±1,596",gross_rent,20.70%,±3.7
"('$1,500 or more',)","Arlington city, Texas","2,830",±804,gross_rent,5.10%,±1.4
"('$1,500 or more',)","Atlanta city, Georgia","8,938","±1,494",gross_rent,9.60%,±1.6
"('$1,500 or more',)","Aurora city, Colorado","4,325",±991,gross_rent,9.50%,±2.2
"('$1,500 or more',)","Austin city, Texas","16,263","±2,321",gross_rent,9.30%,±1.3
"('$1,500 or more',)","Bakersfield city, California","6,514","±1,212",gross_rent,15.00%,±2.6
"('$1,500 or more',)","Baltimore city, Maryland","12,298","±1,454",gross_rent,9.80%,±1.1
"('$1,500 or more',)","Boston city, Massachusetts","53,377","±3,364",gross_rent,32.00%,±1.8
"('$1,500 or more',)","Chicago city, Illinois","65,613","±3,843",gross_rent,12.30%,±0.7
"('$1,500 or more',)","Cincinnati city, Ohio","2,472",±615,gross_rent,3.50%,±0.9
"('$1,500 or more',)","Cleveland city, Ohio","1,323",±513,gross_rent,1.60%,±0.6
"('$1,500 or more',)","Colorado Springs city, Colorado","4,847","±1,076",gross_rent,7.30%,±1.5
"('$1,500 or more',)","Columbus city, Ohio","5,230","±1,023",gross_rent,3.20%,±0.6
"('$1,500 or more',)","Corpus Christi city, Texas","2,676","±1,036",gross_rent,6.00%,±2.2
"('$1,500 or more',)","Dallas city, Texas","15,865","±1,916",gross_rent,6.40%,±0.8
"('$1,500 or more',)","Denver city, Colorado","11,011","±1,760",gross_rent,8.60%,±1.4
"('$1,500 or more',)","Detroit city, Michigan","1,376",±570,gross_rent,1.30%,±0.5
"('$1,500 or more',)","El Paso city, Texas","2,276","±1,137",gross_rent,2.80%,±1.4
"('$1,500 or more',)","Fresno city, California","5,714","±1,321",gross_rent,7.60%,±1.7
"('$1,500 or more',)","Greensboro city, North Carolina",932,±531,gross_rent,1.90%,±1.1
"('$1,500 or more',)","Henderson city, Nevada","6,745","±1,454",gross_rent,19.90%,±4.2
"('$1,500 or more',)","Houston city, Texas","26,870","±2,582",gross_rent,6.70%,±0.7
"('$1,500 or more',)","Indianapolis city (balance), Indiana","4,420","±1,254",gross_rent,3.30%,±0.9
"('$1,500 or more',)","Irvine city, California","24,703","±2,002",gross_rent,66.20%,±4.2
"('$1,500 or more',)","Jacksonville city, Florida","7,060","±1,686",gross_rent,6.30%,±1.4
"('$1,500 or more',)","Jersey City city, New Jersey","18,053","±1,850",gross_rent,28.70%,±2.6
"('$1,500 or more',)","Las Vegas city, Nevada","11,065","±2,155",gross_rent,11.60%,±2.1
"('$1,500 or more',)","Lincoln city, Nebraska","1,429",±468,gross_rent,3.30%,±1.1
"('$1,500 or more',)","Long Beach city, California","16,539","±1,847",gross_rent,17.70%,±2.0
"('$1,500 or more',)","Los Angeles city, California","198,551","±6,974",gross_rent,24.90%,±0.8
"('$1,500 or more',)","Memphis city, Tennessee","3,462","±1,228",gross_rent,3.10%,±1.1
"('$1,500 or more',)","Mesa city, Arizona","2,971","±1,118",gross_rent,5.00%,±1.9
"('$1,500 or more',)","Miami city, Florida","11,448","±1,765",gross_rent,12.10%,±1.8
"('$1,500 or more',)","Milwaukee city, Wisconsin","3,257",±724,gross_rent,2.60%,±0.6
"('$1,500 or more',)","Minneapolis city, Minnesota","6,551","±1,102",gross_rent,8.00%,±1.3
"('$1,500 or more',)","New Orleans city, Louisiana","6,496","±1,052",gross_rent,9.60%,±1.5
"('$1,500 or more',)","New York city, New York","530,042","±10,195",gross_rent,26.30%,±0.4
"('$1,500 or more',)","Newark city, New Jersey","6,544","±1,400",gross_rent,9.50%,±2.1
"('$1,500 or more',)","Oakland city, California","15,942","±1,943",gross_rent,18.10%,±2.1
"('$1,500 or more',)","Omaha city, Nebraska","1,891",±685,gross_rent,2.80%,±1.1
"('$1,500 or more',)","Orlando city, Florida","4,129","±1,222",gross_rent,7.20%,±2.1
"('$1,500 or more',)","Philadelphia city, Pennsylvania","22,212","±2,174",gross_rent,8.80%,±0.9
"('$1,500 or more',)","Phoenix city, Arizona","16,724","±2,214",gross_rent,7.60%,±1.0
"('$1,500 or more',)","Pittsburgh city, Pennsylvania","2,993",±971,gross_rent,4.90%,±1.5
"('$1,500 or more',)","Plano city, Texas","4,551","±1,076",gross_rent,13.80%,±2.9
"('$1,500 or more',)","Portland city, Oregon","11,538","±1,719",gross_rent,10.40%,±1.5
"('$1,500 or more',)","Riverside city, California","6,431","±1,286",gross_rent,17.50%,±3.5
"('$1,500 or more',)","Sacramento city, California","10,713","±1,901",gross_rent,12.30%,±2.0
"('$1,500 or more',)","San Antonio city, Texas","7,730","±1,334",gross_rent,3.90%,±0.7
"('$1,500 or more',)","San Diego city, California","81,646","±4,293",gross_rent,34.20%,±1.5
"('$1,500 or more',)","San Francisco city, California","91,969","±4,530",gross_rent,44.30%,±1.8
"('$1,500 or more',)","San Jose city, California","49,401","±3,486",gross_rent,40.50%,±2.6
"('$1,500 or more',)","Santa Ana city, California","9,272","±1,215",gross_rent,25.10%,±3.2
"('$1,500 or more',)","Seattle city, Washington","27,750","±2,564",gross_rent,19.30%,±1.7
"('$1,500 or more',)","St. Paul city, Minnesota","2,516",±772,gross_rent,4.80%,±1.5
"('$1,500 or more',)","Stockton city, California","5,050","±1,237",gross_rent,12.00%,±2.8
"('$1,500 or more',)","Tampa city, Florida","6,039","±1,324",gross_rent,9.50%,±2.1
"('$1,500 or more',)","Tucson city, Arizona","3,841","±1,048",gross_rent,4.10%,±1.1
"('$1,500 or more',)","Tulsa city, Oklahoma","2,362",±551,gross_rent,3.30%,±0.7
"('$1,500 or more',)","Virginia Beach city, Virginia","12,278","±2,074",gross_rent,22.30%,±3.3
"('$1,500 or more',)","Washington city, District of Columbia","45,217","±3,035",gross_rent,32.20%,±1.7
"('$1,500 or more',)","Wichita city, Kansas","1,424",±653,gross_rent,2.60%,±1.1
"('Median (dollars)',)","Albuquerque city, New Mexico",734,±22,gross_rent,(X),(X)
"('Median (dollars)',)","Anaheim city, California","1,240",±31,gross_rent,(X),(X)
"('Median (dollars)',)","Anchorage municipality, Alaska",995,±42,gross_rent,(X),(X)
"('Median (dollars)',)","Arlington city, Texas",844,±26,gross_rent,(X),(X)
"('Median (dollars)',)","Atlanta city, Georgia",892,±29,gross_rent,(X),(X)
"('Median (dollars)',)","Aurora city, Colorado",869,±17,gross_rent,(X),(X)
"('Median (dollars)',)","Austin city, Texas",901,±14,gross_rent,(X),(X)
"('Median (dollars)',)","Bakersfield city, California",880,±31,gross_rent,(X),(X)
"('Median (dollars)',)","Baltimore city, Maryland",874,±22,gross_rent,(X),(X)
"('Median (dollars)',)","Boston city, Massachusetts","1,233",±32,gross_rent,(X),(X)
"('Median (dollars)',)","Chicago city, Illinois",904,±10,gross_rent,(X),(X)
"('Median (dollars)',)","Cincinnati city, Ohio",628,±16,gross_rent,(X),(X)
"('Median (dollars)',)","Cleveland city, Ohio",644,±15,gross_rent,(X),(X)
"('Median (dollars)',)","Colorado Springs city, Colorado",765,±29,gross_rent,(X),(X)
"('Median (dollars)',)","Columbus city, Ohio",757,±15,gross_rent,(X),(X)
"('Median (dollars)',)","Corpus Christi city, Texas",807,±25,gross_rent,(X),(X)
"('Median (dollars)',)","Dallas city, Texas",789,±10,gross_rent,(X),(X)
"('Median (dollars)',)","Denver city, Colorado",811,±16,gross_rent,(X),(X)
"('Median (dollars)',)","Detroit city, Michigan",733,±23,gross_rent,(X),(X)
"('Median (dollars)',)","El Paso city, Texas",676,±22,gross_rent,(X),(X)
"('Median (dollars)',)","Fresno city, California",837,±27,gross_rent,(X),(X)
"('Median (dollars)',)","Greensboro city, North Carolina",691,±23,gross_rent,(X),(X)
"('Median (dollars)',)","Henderson city, Nevada","1,091",±46,gross_rent,(X),(X)
"('Median (dollars)',)","Houston city, Texas",794,±8,gross_rent,(X),(X)
"('Median (dollars)',)","Indianapolis city (balance), Indiana",723,±14,gross_rent,(X),(X)
"('Median (dollars)',)","Irvine city, California","1,705",±46,gross_rent,(X),(X)
"('Median (dollars)',)","Jacksonville city, Florida",879,±17,gross_rent,(X),(X)
"('Median (dollars)',)","Jersey City city, New Jersey","1,123",±35,gross_rent,(X),(X)
"('Median (dollars)',)","Las Vegas city, Nevada",961,±28,gross_rent,(X),(X)
"('Median (dollars)',)","Lincoln city, Nebraska",686,±22,gross_rent,(X),(X)
"('Median (dollars)',)","Long Beach city, California","1,051",±25,gross_rent,(X),(X)
"('Median (dollars)',)","Los Angeles city, California","1,117",±10,gross_rent,(X),(X)
"('Median (dollars)',)","Memphis city, Tennessee",781,±16,gross_rent,(X),(X)
"('Median (dollars)',)","Mesa city, Arizona",800,±26,gross_rent,(X),(X)
"('Median (dollars)',)","Miami city, Florida",879,±26,gross_rent,(X),(X)
"('Median (dollars)',)","Milwaukee city, Wisconsin",738,±13,gross_rent,(X),(X)
"('Median (dollars)',)","Minneapolis city, Minnesota",785,±29,gross_rent,(X),(X)
"('Median (dollars)',)","New Orleans city, Louisiana",897,±30,gross_rent,(X),(X)
"('Median (dollars)',)","New York city, New York","1,129",±6,gross_rent,(X),(X)
"('Median (dollars)',)","Newark city, New Jersey",934,±23,gross_rent,(X),(X)
"('Median (dollars)',)","Oakland city, California",991,±25,gross_rent,(X),(X)
"('Median (dollars)',)","Omaha city, Nebraska",742,±18,gross_rent,(X),(X)
"('Median (dollars)',)","Orlando city, Florida",922,±27,gross_rent,(X),(X)
"('Median (dollars)',)","Philadelphia city, Pennsylvania",836,±13,gross_rent,(X),(X)
"('Median (dollars)',)","Phoenix city, Arizona",821,±13,gross_rent,(X),(X)
"('Median (dollars)',)","Pittsburgh city, Pennsylvania",717,±24,gross_rent,(X),(X)
"('Median (dollars)',)","Plano city, Texas",963,±28,gross_rent,(X),(X)
"('Median (dollars)',)","Portland city, Oregon",838,±18,gross_rent,(X),(X)
"('Median (dollars)',)","Riverside city, California","1,081",±40,gross_rent,(X),(X)
"('Median (dollars)',)","Sacramento city, California",961,±27,gross_rent,(X),(X)
"('Median (dollars)',)","San Antonio city, Texas",769,±15,gross_rent,(X),(X)
"('Median (dollars)',)","San Diego city, California","1,260",±24,gross_rent,(X),(X)
"('Median (dollars)',)","San Francisco city, California","1,385",±33,gross_rent,(X),(X)
"('Median (dollars)',)","San Jose city, California","1,371",±31,gross_rent,(X),(X)
"('Median (dollars)',)","Santa Ana city, California","1,248",±34,gross_rent,(X),(X)
"('Median (dollars)',)","Seattle city, Washington",990,±21,gross_rent,(X),(X)
"('Median (dollars)',)","St. Paul city, Minnesota",751,±26,gross_rent,(X),(X)
"('Median (dollars)',)","Stockton city, California",928,±35,gross_rent,(X),(X)
"('Median (dollars)',)","Tampa city, Florida",881,±25,gross_rent,(X),(X)
"('Median (dollars)',)","Tucson city, Arizona",719,±22,gross_rent,(X),(X)
"('Median (dollars)',)","Tulsa city, Oklahoma",691,±14,gross_rent,(X),(X)
"('Median (dollars)',)","Virginia Beach city, Virginia","1,200",±36,gross_rent,(X),(X)
"('Median (dollars)',)","Washington city, District of Columbia","1,198",±39,gross_rent,(X),(X)
"('Median (dollars)',)","Wichita city, Kansas",644,±21,gross_rent,(X),(X)
"('No rent paid',)","Albuquerque city, New Mexico","3,264","±1,074",gross_rent,(X),(X)
"('No rent paid',)","Anaheim city, California",400,±248,gross_rent,(X),(X)
"('No rent paid',)","Anchorage municipality, Alaska","3,157","±1,032",gross_rent,(X),(X)
"('No rent paid',)","Arlington city, Texas","1,531",±782,gross_rent,(X),(X)
"('No rent paid',)","Atlanta city, Georgia","2,481",±751,gross_rent,(X),(X)
"('No rent paid',)","Aurora city, Colorado","1,222",±602,gross_rent,(X),(X)
"('No rent paid',)","Austin city, Texas","2,946",±933,gross_rent,(X),(X)
"('No rent paid',)","Bakersfield city, California","1,190",±540,gross_rent,(X),(X)
"('No rent paid',)","Baltimore city, Maryland","3,198",±823,gross_rent,(X),(X)
"('No rent paid',)","Boston city, Massachusetts","2,919",±910,gross_rent,(X),(X)
"('No rent paid',)","Chicago city, Illinois","14,594","±1,804",gross_rent,(X),(X)
"('No rent paid',)","Cincinnati city, Ohio","1,967",±644,gross_rent,(X),(X)
"('No rent paid',)","Cleveland city, Ohio","2,707",±673,gross_rent,(X),(X)
"('No rent paid',)","Colorado Springs city, Colorado","3,198",±976,gross_rent,(X),(X)
"('No rent paid',)","Columbus city, Ohio","2,482",±691,gross_rent,(X),(X)
"('No rent paid',)","Corpus Christi city, Texas","1,978",±769,gross_rent,(X),(X)
"('No rent paid',)","Dallas city, Texas","6,892","±1,254",gross_rent,(X),(X)
"('No rent paid',)","Denver city, Colorado","2,009",±741,gross_rent,(X),(X)
"('No rent paid',)","Detroit city, Michigan","9,443","±1,618",gross_rent,(X),(X)
"('No rent paid',)","El Paso city, Texas","4,576","±1,122",gross_rent,(X),(X)
"('No rent paid',)","Fresno city, California","2,481",±880,gross_rent,(X),(X)
"('No rent paid',)","Greensboro city, North Carolina","1,885",±702,gross_rent,(X),(X)
"('No rent paid',)","Henderson city, Nevada","1,294",±738,gross_rent,(X),(X)
"('No rent paid',)","Houston city, Texas","11,435","±1,927",gross_rent,(X),(X)
"('No rent paid',)","Indianapolis city (balance), Indiana","6,736","±1,252",gross_rent,(X),(X)
"('No rent paid',)","Irvine city, California",713,±390,gross_rent,(X),(X)
"('No rent paid',)","Jacksonville city, Florida","4,291","±1,139",gross_rent,(X),(X)
"('No rent paid',)","Jersey City city, New Jersey","1,107",±676,gross_rent,(X),(X)
"('No rent paid',)","Las Vegas city, Nevada","1,770",±527,gross_rent,(X),(X)
"('No rent paid',)","Lincoln city, Nebraska","1,515",±713,gross_rent,(X),(X)
"('No rent paid',)","Long Beach city, California","2,410",±766,gross_rent,(X),(X)
"('No rent paid',)","Los Angeles city, California","20,001","±2,298",gross_rent,(X),(X)
"('No rent paid',)","Memphis city, Tennessee","3,543",±963,gross_rent,(X),(X)
"('No rent paid',)","Mesa city, Arizona","2,350",±689,gross_rent,(X),(X)
"('No rent paid',)","Miami city, Florida","3,110","±1,055",gross_rent,(X),(X)
"('No rent paid',)","Milwaukee city, Wisconsin","2,732",±854,gross_rent,(X),(X)
"('No rent paid',)","Minneapolis city, Minnesota","1,864",±654,gross_rent,(X),(X)
"('No rent paid',)","New Orleans city, Louisiana","3,048",±927,gross_rent,(X),(X)
"('No rent paid',)","New York city, New York","51,190","±3,457",gross_rent,(X),(X)
"('No rent paid',)","Newark city, New Jersey",739,±423,gross_rent,(X),(X)
"('No rent paid',)","Oakland city, California","2,358",±869,gross_rent,(X),(X)
"('No rent paid',)","Omaha city, Nebraska","1,222",±411,gross_rent,(X),(X)
"('No rent paid',)","Orlando city, Florida",973,±539,gross_rent,(X),(X)
"('No rent paid',)","Philadelphia city, Pennsylvania","13,060","±1,988",gross_rent,(X),(X)
"('No rent paid',)","Phoenix city, Arizona","6,399","±1,303",gross_rent,(X),(X)
"('No rent paid',)","Pittsburgh city, Pennsylvania","1,556",±501,gross_rent,(X),(X)
"('No rent paid',)","Plano city, Texas",569,±357,gross_rent,(X),(X)
"('No rent paid',)","Portland city, Oregon","3,552","±1,025",gross_rent,(X),(X)
"('No rent paid',)","Riverside city, California",983,±504,gross_rent,(X),(X)
"('No rent paid',)","Sacramento city, California","2,265",±758,gross_rent,(X),(X)
"('No rent paid',)","San Antonio city, Texas","7,822","±1,404",gross_rent,(X),(X)
"('No rent paid',)","San Diego city, California","5,982","±1,371",gross_rent,(X),(X)
"('No rent paid',)","San Francisco city, California","5,484","±1,390",gross_rent,(X),(X)
"('No rent paid',)","San Jose city, California","2,508",±728,gross_rent,(X),(X)
"('No rent paid',)","Santa Ana city, California",391,±382,gross_rent,(X),(X)
"('No rent paid',)","Seattle city, Washington","3,335",±795,gross_rent,(X),(X)
"('No rent paid',)","St. Paul city, Minnesota",967,±572,gross_rent,(X),(X)
"('No rent paid',)","Stockton city, California","1,450",±699,gross_rent,(X),(X)
"('No rent paid',)","Tampa city, Florida","2,062",±643,gross_rent,(X),(X)
"('No rent paid',)","Tucson city, Arizona","3,156",±854,gross_rent,(X),(X)
"('No rent paid',)","Tulsa city, Oklahoma","3,345",±927,gross_rent,(X),(X)
"('No rent paid',)","Virginia Beach city, Virginia","1,410",±610,gross_rent,(X),(X)
"('No rent paid',)","Washington city, District of Columbia","4,701","±1,029",gross_rent,(X),(X)
"('No rent paid',)","Wichita city, Kansas","1,795",±653,gross_rent,(X),(X)
"('Occupied units paying rent (excluding units where GRAPI cannot be computed)',)","Albuquerque city, New Mexico","82,871","±3,706",gross_rent_as_a_percentage_of_household_income_(grapi),"82,871",(X)
"('Occupied units paying rent (excluding units where GRAPI cannot be computed)',)","Anaheim city, California","50,797","±2,727",gross_rent_as_a_percentage_of_household_income_(grapi),"50,797",(X)
"('Occupied units paying rent (excluding units where GRAPI cannot be computed)',)","Anchorage municipality, Alaska","37,643","±2,430",gross_rent_as_a_percentage_of_household_income_(grapi),"37,643",(X)
"('Occupied units paying rent (excluding units where GRAPI cannot be computed)',)","Arlington city, Texas","54,236","±3,508",gross_rent_as_a_percentage_of_household_income_(grapi),"54,236",(X)
"('Occupied units paying rent (excluding units where GRAPI cannot be computed)',)","Atlanta city, Georgia","88,790","±3,695",gross_rent_as_a_percentage_of_household_income_(grapi),"88,790",(X)
"('Occupied units paying rent (excluding units where GRAPI cannot be computed)',)","Aurora city, Colorado","44,457","±2,421",gross_rent_as_a_percentage_of_household_income_(grapi),"44,457",(X)
"('Occupied units paying rent (excluding units where GRAPI cannot be computed)',)","Austin city, Texas","171,385","±4,235",gross_rent_as_a_percentage_of_household_income_(grapi),"171,385",(X)
"('Occupied units paying rent (excluding units where GRAPI cannot be computed)',)","Bakersfield city, California","42,422","±2,672",gross_rent_as_a_percentage_of_household_income_(grapi),"42,422",(X)
"('Occupied units paying rent (excluding units where GRAPI cannot be computed)',)","Baltimore city, Maryland","120,807","±5,072",gross_rent_as_a_percentage_of_household_income_(grapi),"120,807",(X)
"('Occupied units paying rent (excluding units where GRAPI cannot be computed)',)","Boston city, Massachusetts","157,772","±5,351",gross_rent_as_a_percentage_of_household_income_(grapi),"157,772",(X)
"('Occupied units paying rent (excluding units where GRAPI cannot be computed)',)","Chicago city, Illinois","514,497","±8,492",gross_rent_as_a_percentage_of_household_income_(grapi),"514,497",(X)
"('Occupied units paying rent (excluding units where GRAPI cannot be computed)',)","Cincinnati city, Ohio","67,287","±3,636",gross_rent_as_a_percentage_of_household_income_(grapi),"67,287",(X)
"('Occupied units paying rent (excluding units where GRAPI cannot be computed)',)","Cleveland city, Ohio","80,260","±3,367",gross_rent_as_a_percentage_of_household_income_(grapi),"80,260",(X)
"('Occupied units paying rent (excluding units where GRAPI cannot be computed)',)","Colorado Springs city, Colorado","64,859","±2,999",gross_rent_as_a_percentage_of_household_income_(grapi),"64,859",(X)
